sys_loc_code,Hex,WellName,LithID,NewPick,Formation,Z,Omit,Reviewed,PickDate,PickedBy
6504018,#808000,B1,9786.0,No,ATB3,320.97,0.0,0,10/23/2012,AQR
6504018,#CCCC00,B1,9779.0,No,AFB2,347.79,0.0,0,10/23/2012,AQR
6504019,#CCCC00,B2,9793.0,No,AFB2,345.36,0.0,0,10/23/2012,AQR
6504019,#808000,B2,9800.0,No,ATB3,319.75,0.0,0,10/23/2012,AQR
6504019,#FFFFCC,B2,9791.0,No,AFB1,352.67,0.0,0,10/23/2012,AQR
6504019,#e5ccc9,B2,9788.0,No,ATB1,361.82,0.0,0,10/23/2012,AQR
PK_6503004,#988558,PK_6503004,32665.0,No,ATE1,287.82,0.0,0,10/23/2012,AQR
PK_6503004,#CCCC00,PK_6503004,32662.0,No,AFB2,344.04,0.0,0,10/23/2012,AQR
PK_6503004,#e5ccc9,PK_6503004,32660.0,No,ATB1,359.75,0.0,0,10/23/2012,AQR
PK_6503004,#FFFFCC,PK_6503004,32661.0,No,AFB1,350.61,0.0,0,10/23/2012,AQR
PK_6503004,#808000,PK_6503004,32663.0,No,ATB3,317.99,0.0,0,10/23/2012,AQR
PK_6503004,#C1E1C1,PK_6503004,32664.0,No,ATC1,305.88,0.0,0,10/23/2012,AQR
1000446A,#FFFFCC,WT-BD-TW7-94-A,2308.0,No,AFB1,355.29,0.0,0,10/23/2012,AQR
1000446A,#e5ccc9,WT-BD-TW7-94-A,-999.0,No,ATB1,364.43,0.0,0,10/23/2012,AQR
1000448A,#808000,WT-BD-TW9-94-A,-999.0,No,ATB3,325.49,0.0,0,10/23/2012,AQR
1000448A,#e5ccc9,WT-BD-TW9-94-A,-999.0,No,ATB1,362.98,0.0,0,10/23/2012,AQR
1000448A,#FFFFCC,WT-BD-TW9-94-A,-999.0,No,AFB1,357.8,0.0,0,10/23/2012,AQR
1000516A,#CCCC00,WT-BD-TW10-95-A,-999.0,No,AFB2,348.0,0.0,0,10/23/2012,AQR
1000516A,#e5ccc9,WT-BD-TW10-95-A,2648.0,No,ATB1,374.21,0.0,0,10/23/2012,AQR
1000516A,#808000,WT-BD-TW10-95-A,-999.0,No,ATB3,330.91,0.0,0,10/23/2012,AQR
9200507A,#FFFFCC,WT-MW-WM10-93-A,-999.0,No,AFB1,379.9991,0.0,0,01/07/2009,Stantec
9200507A,#c08081,WT-MW-WM10-93-A,19622.0,No,ATB2,373.2891,0.0,0,01/07/2009,Stantec
9200507A,#CCCC00,WT-MW-WM10-93-A,19623.0,No,AFB2,372.3791,0.0,0,01/07/2009,Stantec
1000913A,#808000,WT-WC-WCW2-98-A,4049.0,No,ATB3,321.09,0.0,0,10/23/2012,Stantec
1000913A,#FFFFCC,WT-WC-WCW2-98-A,4038.0,No,AFB1,371.84,0.0,0,10/23/2012,AQR
1000518A,#FFFFCC,WT-BD-TW12-95-A,2684.0,No,AFB1,370.8,0.0,0,10/23/2012,AQR
1000518A,#c08081,WT-BD-TW12-95-A,2685.0,No,ATB2,364.09,0.0,0,10/23/2012,AQR
1000518A,#808000,WT-BD-TW12-95-A,2693.0,No,ATB3,341.23,0.0,0,01/07/2009,Stantec
1000442A,#808000,WT-BD-TW3-94-A,2093.0,No,ATB3,342.46,0.0,0,01/07/2009,Stantec
1000442A,#CCCC00,WT-BD-TW3-94-A,2091.0,No,AFB2,364.71,0.0,0,01/07/2009,Stantec
1000442A,#c08081,WT-BD-TW3-94-A,2090.0,No,ATB2,369.9,0.0,0,01/07/2009,Stantec
9200500A,#C1E1C1,WT-EB-WM3-93-A,19405.0,No,ATC1,297.083,0.0,0,01/07/2009,Stantec
9200500A,#808000,WT-EB-WM3-93-A,19395.0,No,ATB3,364.143,0.0,0,01/07/2009,Stantec
9200500A,#CCCC00,WT-EB-WM3-93-A,19392.0,No,AFB2,376.333,0.0,0,01/07/2009,Stantec
9200500A,#c08081,WT-EB-WM3-93-A,19390.0,No,ATB2,385.483,0.0,0,01/07/2009,Stantec
9200500A,#FFFFCC,WT-EB-WM3-93-A,19388.0,No,AFB1,394.933,0.0,0,01/07/2009,Stantec
PK_1000520,#FFFF8F,PK_1000520,31915.0,No,AFD1,285.42,0.0,0,10/23/2012,AQR
PK_1000520,#808000,PK_1000520,31913.0,No,ATB3,314.38,0.0,0,10/23/2012,AQR
PK_1000520,#e5ccc9,PK_1000520,31911.0,No,ATB1,344.86,0.0,0,10/23/2012,AQR
PK_1000520,#c08081,PK_1000520,31912.0,No,ATB2,331.73,0.0,0,10/23/2012,AQR
PK_1000520,#988558,PK_1000520,31916.0,No,ATE1,282.38,0.0,0,10/23/2012,AQR
PK_1000520,#C1E1C1,PK_1000520,31914.0,No,ATC1,301.96000000000004,0.0,0,10/23/2012,AQR
PK_6505739,#FFFFCC,PK_6505739,33344.0,No,AFB1,332.6,0.0,0,10/23/2012,AQR
PK_6505739,#e5ccc9,PK_6505739,33343.0,No,ATB1,344.79,0.0,0,10/23/2012,AQR
PK_6505739,#c08081,PK_6505739,33345.0,No,ATB2,331.68,0.0,0,10/23/2012,AQR
PK_6505739,#C1E1C1,PK_6505739,33347.0,No,ATC1,302.27000000000004,0.0,0,10/23/2012,AQR
PK_6505739,#988558,PK_6505739,33348.0,No,ATE1,286.88,0.0,0,10/23/2012,AQR
PK_6505739,#808000,PK_6505739,33346.0,No,ATB3,321.91,0.0,0,10/23/2012,AQR
6503586A,#c08081,WT-RM-DW-284-72-A,9524.0,No,ATB2,349.61,0.0,0,10/23/2012,AQR
6503586A,#CCCC00,WT-RM-DW-284-72-A,9526.0,No,AFB2,335.89,0.0,0,10/23/2012,AQR
6503586A,#FFFFCC,WT-RM-DW-284-72-A,9523.0,No,AFB1,373.38,0.0,0,10/23/2012,AQR
PK_6506450,#C1E1C1,PK_6506450,33478.0,No,ATC1,302.47,0.0,0,10/23/2012,AQR
PK_6506450,#e5ccc9,PK_6506450,33475.0,No,ATB1,344.53,0.0,0,10/23/2012,AQR
PK_6506450,#808000,PK_6506450,33477.0,No,ATB3,320.27,0.0,0,10/23/2012,AQR
PK_6506450,#988558,PK_6506450,33479.0,No,ATE1,284.29,0.0,0,10/23/2012,AQR
PK_6506450,#c08081,PK_6506450,33476.0,No,ATB2,329.29,0.0,0,10/23/2012,AQR
6507178A,#FFFFCC,WT-91,13588.0,No,AFB1,392.89,0.0,0,10/23/2012,AQR
6507178A,#CCCC00,WT-91,13591.0,No,AFB2,351.13,0.0,0,10/23/2012,AQR
6507178A,#c08081,WT-91,13590.0,No,ATB2,370.98,0.0,0,10/23/2012,AQR
PK_6506217,#808000,PK_6506217,33422.0,No,ATB3,318.95,0.0,0,10/23/2012,AQR
PK_6506217,#988558,PK_6506217,33425.0,No,ATE1,280.52,0.0,0,10/23/2012,AQR
PK_6506217,#C1E1C1,PK_6506217,33423.0,No,ATC1,302.18,0.0,0,10/23/2012,AQR
PK_6506217,#c08081,PK_6506217,33421.0,No,ATB2,334.37,0.0,0,10/23/2012,AQR
PK_6506217,#FFFF8F,PK_6506217,33424.0,No,AFD1,282.52,0.0,0,10/23/2012,AQR
PK_6506217,#e5ccc9,PK_6506217,33420.0,No,ATB1,345.0,0.0,0,10/23/2012,AQR
6502189,#C1E1C1,WT-RM-DW-TW14-67,8351.0,No,ATC1,299.98,0.0,0,10/23/2012,AQR
6502189,#e5ccc9,WT-RM-DW-TW14-67,8341.0,No,ATB1,342.9,0.0,0,10/23/2012,AQR
6502189,#988558,WT-RM-DW-TW14-67,8356.0,No,ATE1,280.72,0.0,0,10/23/2012,AQR
6502189,#FFFF8F,WT-RM-DW-TW14-67,8354.0,No,AFD1,287.12,0.0,0,10/23/2012,AQR
6502189,#FFFFCC,WT-RM-DW-TW14-67,8345.0,No,AFB1,326.75,0.0,0,10/23/2012,AQR
6502189,#c08081,WT-RM-DW-TW14-67,8346.0,No,ATB2,324.92,0.0,0,10/23/2012,AQR
6502189,#CCCC00,WT-RM-DW-TW14-67,8347.0,No,AFB2,316.98999999999995,0.0,0,10/23/2012,AQR
6502189,#808000,WT-RM-DW-TW14-67,8348.0,No,ATB3,315.16,0.0,0,10/23/2012,AQR
9200501A,#808000,WT-EB-WM4-93-A,19443.0,No,ATB3,341.307,0.0,0,01/07/2009,Stantec
9200501A,#CCCC00,WT-EB-WM4-93-A,19440.0,No,AFB2,347.40700000000004,0.0,0,01/07/2009,Stantec
9200501A,#c08081,WT-EB-WM4-93-A,19434.0,No,ATB2,357.15700000000004,0.0,0,01/07/2009,Stantec
9200501A,#FFFFCC,WT-EB-WM4-93-A,19427.0,No,AFB1,390.687,0.0,0,01/07/2009,Stantec
1000447A,#CCCC00,WT-WC-BP8-94-A,2371.0,No,AFB2,348.803,0.0,0,01/07/2009,Stantec
1000447A,#FFFFCC,WT-WC-BP8-94-A,2368.0,No,AFB1,371.663,0.0,0,01/07/2009,Stantec
1000447A,#c08081,WT-WC-BP8-94-A,2369.0,No,ATB2,367.403,0.0,0,01/07/2009,Stantec
PK_6503736,#C1E1C1,PK_6503736,32859.0,No,ATC1,305.29,0.0,0,10/23/2012,AQR
PK_6503736,#e5ccc9,PK_6503736,32853.0,No,ATB1,380.27,0.0,0,10/23/2012,AQR
PK_6503736,#FFFFCC,PK_6503736,32854.0,No,AFB1,379.05,0.0,0,10/23/2012,AQR
PK_6503736,#c08081,PK_6503736,32855.0,No,ATB2,370.52,0.0,0,10/23/2012,AQR
PK_6503736,#CCCC00,PK_6503736,32856.0,No,AFB2,358.32,0.0,0,10/23/2012,AQR
PK_6503736,#808000,PK_6503736,32857.0,No,ATB3,320.22,0.0,0,10/23/2012,AQR
PK_6503736,#FFFF99,PK_6503736,32858.0,No,AFB3,313.82,0.0,0,10/23/2012,AQR
PK_6503736,#988558,PK_6503736,32860.0,No,ATE1,290.04999999999995,0.0,0,10/23/2012,AQR
PK_6505500,#808000,PK_6505500,33295.0,No,ATB3,319.71,0.0,0,10/23/2012,AQR
PK_6505500,#c08081,PK_6505500,33293.0,No,ATB2,361.78,0.0,0,10/23/2012,AQR
PK_6505500,#FFFFCC,PK_6505500,33292.0,No,AFB1,368.79,0.0,0,10/23/2012,AQR
PK_6505500,#CCCC00,PK_6505500,33294.0,No,AFB2,336.17,0.0,0,10/23/2012,AQR
PK_6505500,#e5ccc9,PK_6505500,33291.0,No,ATB1,369.7,0.0,0,10/23/2012,AQR
PK_6505852,#c08081,PK_6505852,33365.0,No,ATB2,371.86,0.0,0,01/07/2009,Stantec
PK_6505852,#CCCC00,PK_6505852,33366.0,No,AFB2,355.1,0.0,0,01/07/2009,Stantec
PK_6505852,#FFFFCC,PK_6505852,33364.0,No,AFB1,374.91,0.0,0,01/07/2009,Stantec
6503589A,#c08081,WT-RM-DW-333-A,9534.0,No,ATB2,334.37,0.0,0,10/23/2012,AQR
6503589A,#CCCC00,WT-RM-DW-333-A,9536.0,No,AFB2,314.25,0.0,0,10/23/2012,AQR
6503589A,#e5ccc9,WT-RM-DW-333-A,9532.0,No,ATB1,342.9,0.0,0,10/23/2012,AQR
PK_6503581,#FFFFCC,PK_6503581,32821.0,No,AFB1,350.37,0.0,0,10/23/2012,AQR
PK_6503581,#CCCC00,PK_6503581,32823.0,No,AFB2,341.52,0.0,0,10/23/2012,AQR
PK_6503581,#c08081,PK_6503581,32822.0,No,ATB2,345.09,0.0,0,10/23/2012,AQR
PK_6503581,#808000,PK_6503581,32824.0,No,ATB3,318.06,0.0,0,10/23/2012,AQR
PK_6503581,#e5ccc9,PK_6503581,32820.0,No,ATB1,355.25,0.0,0,10/23/2012,AQR
9200511A,#808000,WT-WC-WM14-93-A,19682.0,No,ATB3,317.953,0.0,0,10/23/2012,Stantec
9200511A,#FFFFCC,WT-WC-WM14-93-A,-999.0,No,AFB1,370.993,0.0,0,10/23/2012,AQR
9200511A,#FFFF00,WT-WC-WM14-93-A,19689.0,No,AFF1,282.903,0.0,0,01/07/2009,Stantec
9200511A,#988558,WT-WC-WM14-93-A,-999.0,No,ATE1,292.663,0.0,0,10/23/2012,AQR
9200511A,#FFFF8F,WT-WC-WM14-93-A,-999.0,No,AFD1,292.663,0.0,0,10/23/2012,AQR
9200511A,#c08081,WT-WC-WM14-93-A,-999.0,No,ATB2,358.193,0.0,0,10/23/2012,AQR
9200511A,#e5ccc9,WT-WC-WM14-93-A,-999.0,No,ATB1,370.993,0.0,0,10/23/2012,AQR
1000912A,#c08081,WT-WC-WCW1-98-A,-999.0,No,ATB2,328.829,0.0,0,10/23/2012,AQR
1000912A,#CCCC00,WT-WC-WCW1-98-A,-999.0,No,AFB2,314.049,0.0,0,10/23/2012,AQR
1000912A,#e5ccc9,WT-WC-WCW1-98-A,-999.0,No,ATB1,342.089,0.0,0,10/23/2012,AQR
1000912A,#808000,WT-WC-WCW1-98-A,4021.0,No,ATB3,300.029,0.0,0,10/23/2012,AQR
1000912A,#FFFFCC,WT-WC-WCW1-98-A,4011.0,No,AFB1,335.989,0.0,0,10/23/2012,AQR
1000912A,#C1E1C1,WT-WC-WCW1-98-A,4022.0,No,ATC1,299.569,0.0,0,10/23/2012,AQR
1000912A,#FFFF99,WT-WC-WCW1-98-A,-999.0,No,AFB3,299.569,0.0,0,10/23/2012,AQR
PK_6502357,#CCCC00,PK_6502357,32542.0,No,AFB2,361.2,0.0,0,01/07/2009,Stantec
PK_6502357,#e5ccc9,PK_6502357,32539.0,No,ATB1,400.82,0.0,0,01/07/2009,Stantec
PK_6502357,#FFFFCC,PK_6502357,32540.0,No,AFB1,391.98,0.0,0,01/07/2009,Stantec
PK_6502357,#c08081,PK_6502357,32541.0,No,ATB2,365.77,0.0,0,01/07/2009,Stantec
6502152,#CCCC00,WT-SST-OW13-67,8163.0,No,AFB2,312.42,0.0,0,10/23/2012,AQR
6502152,#C1E1C1,WT-SST-OW13-67,-999.0,No,ATC1,290.78,0.0,0,10/23/2012,AQR
6502152,#FFFF99,WT-SST-OW13-67,8165.0,No,AFB3,297.48,0.0,0,10/23/2012,AQR
6502152,#808000,WT-SST-OW13-67,8164.0,No,ATB3,301.45,0.0,0,10/23/2012,AQR
6502152,#988558,WT-SST-OW13-67,8167.0,No,ATE1,283.77,0.0,0,10/23/2012,AQR
6502152,#e5ccc9,WT-SST-OW13-67,8158.0,No,ATB1,342.9,0.0,0,10/23/2012,AQR
6502152,#FFFF8F,WT-SST-OW13-67,-999.0,No,AFD1,283.77,0.0,0,10/23/2012,AQR
6502152,#c08081,WT-SST-OW13-67,8161.0,No,ATB2,326.14,0.0,0,10/23/2012,AQR
6502152,#FFFFCC,WT-SST-OW13-67,-999.0,No,AFB1,326.44,0.0,0,10/23/2012,AQR
6505740,#808000,SA6,10842.0,No,ATB3,346.90200000000004,0.0,0,01/07/2009,Stantec
6505740,#CCCC00,SA6,10838.0,No,AFB2,361.532,0.0,0,01/07/2009,Stantec
6505740,#c08081,SA6,10836.0,No,ATB2,375.552,0.0,0,01/07/2009,Stantec
6505740,#FFFFCC,SA6,10834.0,No,AFB1,400.852,0.0,0,01/07/2009,Stantec
6505740,#e5ccc9,SA6,10833.0,No,ATB1,404.812,0.0,0,01/07/2009,Stantec
PK_9200677,#c08081,PK_9200677,34116.0,No,ATB2,375.77,0.0,0,01/07/2009,Stantec
PK_9200677,#CCCC00,PK_9200677,34117.0,No,AFB2,355.66,0.0,0,01/07/2009,Stantec
PK_9200677,#FFFFCC,PK_9200677,34115.0,No,AFB1,390.1,0.0,0,01/07/2009,Stantec
6503594,#FFFFCC,WT-RM-DW-332-72,9540.0,No,AFB1,327.04999999999995,0.0,0,10/23/2012,AQR
6503594,#e5ccc9,WT-RM-DW-332-72,9538.0,No,ATB1,334.67,0.0,0,10/23/2012,AQR
PK_6503580,#FFFFCC,PK_6503580,32817.0,No,AFB1,356.58,0.0,0,10/23/2012,AQR
PK_6503580,#c08081,PK_6503580,32818.0,No,ATB2,348.04,0.0,0,10/23/2012,AQR
PK_6503580,#CCCC00,PK_6503580,32819.0,No,AFB2,345.6,0.0,0,10/23/2012,AQR
PK_6503580,#e5ccc9,PK_6503580,32816.0,No,ATB1,364.5,0.0,0,10/23/2012,AQR
9200512A,#C1E1C1,WT-MW-WM15-93-A,19747.0,No,ATC1,317.635,0.0,0,01/07/2009,Stantec
9200512A,#808000,WT-MW-WM15-93-A,-999.0,No,ATB3,345.065,0.0,0,01/07/2009,Stantec
9200512A,#CCCC00,WT-MW-WM15-93-A,19739.0,No,AFB2,374.635,0.0,0,01/07/2009,Stantec
9200512A,#c08081,WT-MW-WM15-93-A,19736.0,No,ATB2,379.815,0.0,0,01/07/2009,Stantec
9200512A,#FFFFCC,WT-MW-WM15-93-A,19731.0,No,AFB1,386.525,0.0,0,01/07/2009,Stantec
6503574A,#e5ccc9,WT-RM-DW-D10-72-A,9457.0,No,ATB1,350.52,0.0,0,10/23/2012,AQR
6503574A,#CCCC00,WT-RM-DW-D10-72-A,9462.0,No,AFB2,332.54,0.0,0,10/23/2012,AQR
6503574A,#808000,WT-RM-DW-D10-72-A,9467.0,No,ATB3,325.83,0.0,0,10/23/2012,AQR
6503574A,#FFFFCC,WT-RM-DW-D10-72-A,9461.0,No,AFB1,337.41,0.0,0,10/23/2012,AQR
6502359,#e5ccc9,SA5,8519.0,No,ATB1,395.977,0.0,0,01/07/2009,Stantec
6502359,#FFFFCC,SA5,8522.0,No,AFB1,383.477,0.0,0,01/07/2009,Stantec
6502359,#c08081,SA5,8523.0,No,ATB2,367.317,0.0,0,01/07/2009,Stantec
6502359,#CCCC00,SA5,8524.0,No,AFB2,366.407,0.0,0,01/07/2009,Stantec
PK_6504842,#CCCC00,PK_6504842,33130.0,No,AFB2,322.8,0.0,0,10/23/2012,AQR
PK_6504842,#e5ccc9,PK_6504842,33129.0,No,ATB1,334.99,0.0,0,10/23/2012,AQR
6507592A,#FFFFCC,WT-RM-DW102-94-A,14484.0,No,AFB1,392.5,0.0,0,01/07/2009,Stantec
6507181A,#CCCC00,W-LC-OW3-91-A,13609.0,No,AFB2,361.5599,0.0,0,01/07/2009,Stantec
6507591A,#FFFFCC,WT-RM-DW101-94-A,14482.0,No,AFB1,391.3,0.0,0,01/07/2009,Stantec
9205515A,#808000,WT-SA-OW01-10-A,-999.0,No,ATB3,343.808,0.0,0,10/23/2012,AQR
9205515A,#FFFF33,WT-SA-OW01-10-A,-999.0,No,AFA2,397.148,0.0,0,10/23/2012,AQR
9205515A,#CCCC00,WT-SA-OW01-10-A,27853.0,No,AFB2,361.398,0.0,0,10/23/2012,AQR
9205515A,#e5ccc9,WT-SA-OW01-10-A,27848.0,No,ATB1,397.068,0.0,0,10/23/2012,AQR
9205515A,#FFFFCC,WT-SA-OW01-10-A,-999.0,No,AFB1,397.148,0.0,0,10/23/2012,AQR
9205515A,#c08081,WT-SA-OW01-10-A,27852.0,No,ATB2,367.498,0.0,0,10/23/2012,AQR
6507588A,#FFFFCC,WT-RM-DW-OW9-93-A,14481.0,No,AFB1,391.0,0.0,0,01/07/2009,Stantec
6507588A,#e5ccc9,WT-RM-DW-OW9-93-A,14480.0,No,ATB1,391.3,0.0,0,01/07/2009,Stantec
6507593A,#e5ccc9,WT-RM-DW-OW103-94-A,14486.0,No,ATB1,394.1,0.0,0,01/07/2009,Stantec
6507593A,#FFFFCC,WT-RM-DW-OW103-94-A,14487.0,No,AFB1,390.44,0.0,0,01/07/2009,Stantec
6507594A,#FFFFCC,WT-RM-DW-OW104-94-94-A,14490.0,No,AFB1,387.2,0.0,0,01/07/2009,Stantec
6507594A,#CCCC00,WT-RM-DW-OW104-94-94-A,14493.0,No,AFB2,361.0,0.0,0,01/07/2009,Stantec
6507594A,#e5ccc9,WT-RM-DW-OW104-94-94-A,14489.0,No,ATB1,389.9,0.0,0,01/07/2009,Stantec
6507594A,#c08081,WT-RM-DW-OW104-94-94-A,14491.0,No,ATB2,370.3,0.0,0,01/07/2010,Stantec
6507587A,#e5ccc9,WT-RM-DW-OW12-93-A,14478.0,No,ATB1,388.3,0.0,0,01/07/2009,Stantec
6507587A,#FFFFCC,WT-RM-DW-OW12-93-A,14479.0,No,AFB1,386.17,0.0,0,01/07/2009,Stantec
PK_9201230,#CCCC00,PK_9201230,34326.0,No,AFB2,356.87,0.0,0,10/23/2012,AQR
PK_9201230,#FFFFCC,PK_9201230,34324.0,No,AFB1,387.35,0.0,0,10/23/2012,AQR
PK_9201230,#e5ccc9,PK_9201230,34323.0,No,ATB1,389.84,0.0,0,10/23/2012,AQR
PK_9201230,#c08081,PK_9201230,34325.0,No,ATB2,377.59,0.0,0,10/23/2012,AQR
1000745A,#c08081,WT-WC-MW205-96-A,-999.0,No,ATB2,329.34700000000004,0.0,0,10/23/2012,AQR
1000745A,#CCCC00,WT-WC-MW205-96-A,-999.0,No,AFB2,329.34700000000004,0.0,0,10/23/2012,AQR
1000745A,#e5ccc9,WT-WC-MW205-96-A,3555.0,No,ATB1,349.237,0.0,0,10/23/2012,AQR
1000745A,#FFFFCC,WT-WC-MW205-96-A,-999.0,No,AFB1,349.687,0.0,0,10/23/2012,AQR
9200508A,#FFFFCC,WT-MW-WM11-93-A,19629.0,No,AFB1,357.222,0.0,0,01/07/2009,Stantec
1000932A,#c08081,WT-MW204-96-A,-999.0,No,ATB2,330.147,0.0,0,10/23/2012,AQR
1000932A,#CCCC00,WT-MW204-96-A,-999.0,No,AFB2,330.147,0.0,0,10/23/2012,AQR
1000932A,#e5ccc9,WT-MW204-96-A,-999.0,No,ATB1,354.627,0.0,0,10/23/2012,AQR
1000932A,#FFFFCC,WT-MW204-96-A,-999.0,No,AFB1,354.627,0.0,0,10/23/2012,AQR
